seed,d,op_set,n_ops,eff_ops,noise,truth,selection,mse_test,nmse_test,recovered,model,complexity,cv_score,time_s
20290712,1,full,4,4,0.0,(cos((0.23 * x0)) + (-0.94 + x0)),extrap-CV,5.974090110472478e-05,1.406057298798203e-06,False,0.000104*((sqrt(x0) + (x0)^2))^2 + 0.06 + 1*x0 + -0.0267*x0^2,6,-18.47368820542953,20.90697717666626
20290712,1,full,4,4,0.0,(cos((0.23 * x0)) + (-0.94 + x0)),interior-CV,5.974090110472478e-05,1.406057298798203e-06,False,0.000104*((sqrt(x0) + (x0)^2))^2 + 0.06 + 1*x0 + -0.0267*x0^2,6,-21.655663888790418,20.90697717666626
20290712,1,full,4,4,0.0,(cos((0.23 * x0)) + (-0.94 + x0)),train-MSE,5.974090110472478e-05,1.406057298798203e-06,False,0.000104*((sqrt(x0) + (x0)^2))^2 + 0.06 + 1*x0 + -0.0267*x0^2,6,,20.90697717666626
20290713,1,full,4,9,0.0,(sqrt((x0 + x0)) / (x0 * -0.87)),extrap-CV,9.307056456251317e-32,2.246584629506087e-31,True,-1.63*(sqrt(x0) / x0),2,-27.631021115928547,0.025297880172729492
20290713,1,full,4,9,0.0,(sqrt((x0 + x0)) / (x0 * -0.87)),interior-CV,9.307056456251317e-32,2.246584629506087e-31,True,-1.63*(sqrt(x0) / x0),2,-27.631021115928547,0.025297880172729492
20290713,1,full,4,9,0.0,(sqrt((x0 + x0)) / (x0 * -0.87)),train-MSE,9.307056456251317e-32,2.246584629506087e-31,True,-1.63*(sqrt(x0) / x0),2,,0.025297880172729492
20290714,1,full,4,2,0.0,exp(cos(((x0 / x0) * x0))),extrap-CV,0.0,0.0,True,1*exp(cos(x0)),2,-27.631021115928547,0.05520296096801758
20290714,1,full,4,2,0.0,exp(cos(((x0 / x0) * x0))),interior-CV,0.0,0.0,True,1*exp(cos(x0)),2,-27.631021115928547,0.05520296096801758
20290714,1,full,4,2,0.0,exp(cos(((x0 / x0) * x0))),train-MSE,0.0,0.0,True,1*exp(cos(x0)),2,,0.05520296096801758
20290715,1,full,4,3,0.0,(((-2.15 - x0))^2 * exp(2.89)),extrap-CV,1.9964659027845274e-23,7.041247083336811e-29,True,38.7*x0 + 83.2 + 38.7*x0 + 18*x0^2,2,-27.63102111592834,0.020084857940673828
20290715,1,full,4,3,0.0,(((-2.15 - x0))^2 * exp(2.89)),interior-CV,1.9964659027845274e-23,7.041247083336811e-29,True,38.7*x0 + 83.2 + 38.7*x0 + 18*x0^2,2,-27.631021115928448,0.020084857940673828
20290715,1,full,4,3,0.0,(((-2.15 - x0))^2 * exp(2.89)),train-MSE,1.9964659027845274e-23,7.041247083336811e-29,True,38.7*x0 + 83.2 + 38.7*x0 + 18*x0^2,2,,0.020084857940673828
20290716,1,full,4,4,0.0,sin((x0 * (-1.8 + cos(x0)))),extrap-CV,0.6440514716291357,1.291084713482115,False,-0.761*sin((((sqrt(log(x0)) * x0) + x0) * 1.29)) + 0.0148 + -0.0374*x0 + -0.000702*x0^2,8,-3.3102060694940025,443.39918422698975
20290716,1,full,4,4,0.0,sin((x0 * (-1.8 + cos(x0)))),interior-CV,1.1837947269890063,2.373070077846708,False,-7.82*exp((sin(((cos((x0 * -1.28)) + -1.51) * x0)) * -0.125)) + 7.85 + -0.0673*x0 + -0.000475*x0^2,9,-3.689385866021993,443.39918422698975
20290716,1,full,4,4,0.0,sin((x0 * (-1.8 + cos(x0)))),train-MSE,1.1837947269890063,2.373070077846708,False,-7.82*exp((sin(((cos((x0 * -1.28)) + -1.51) * x0)) * -0.125)) + 7.85 + -0.0673*x0 + -0.000475*x0^2,9,,443.39918422698975
20290717,1,full,4,6,0.0,(log(sin(log(x0))) / x0),extrap-CV,6.707110182571624e-35,7.78992391619799e-31,True,1*(log(sin(log(x0))) / x0),4,-27.631021115928547,20.8069269657135
20290717,1,full,4,6,0.0,(log(sin(log(x0))) / x0),interior-CV,6.707110182571624e-35,7.78992391619799e-31,True,1*(log(sin(log(x0))) / x0),4,-27.631021115928547,20.8069269657135
20290717,1,full,4,6,0.0,(log(sin(log(x0))) / x0),train-MSE,6.707110182571624e-35,7.78992391619799e-31,True,1*(log(sin(log(x0))) / x0),4,,20.8069269657135
20290718,1,full,4,3,0.0,(x0 - ((1.91 / x0) + log(-0.38))),extrap-CV,1.7695444329029923e-30,4.368289764281235e-32,True,-1.91*(x0 / (x0)^2) + 0.968 + 1*x0,3,-27.631021115928547,0.07118105888366699
20290718,1,full,4,3,0.0,(x0 - ((1.91 / x0) + log(-0.38))),interior-CV,1.7695444329029923e-30,4.368289764281235e-32,True,-1.91*(x0 / (x0)^2) + 0.968 + 1*x0,3,-27.631021115928547,0.07118105888366699
20290718,1,full,4,3,0.0,(x0 - ((1.91 / x0) + log(-0.38))),train-MSE,1.7695444329029923e-30,4.368289764281235e-32,True,-1.91*(x0 / (x0)^2) + 0.968 + 1*x0,3,,0.07118105888366699
20290719,1,full,4,5,0.0,(x0 / (log((x0 * x0)) * 0.99)),extrap-CV,3.386170028221638e-30,1.1060273490079342e-30,True,0.505*(x0 / log(x0)),2,-27.631021115928547,0.1262199878692627
20290719,1,full,4,5,0.0,(x0 / (log((x0 * x0)) * 0.99)),interior-CV,3.386170028221638e-30,1.1060273490079342e-30,True,0.505*(x0 / log(x0)),2,-27.631021115928547,0.1262199878692627
20290719,1,full,4,5,0.0,(x0 / (log((x0 * x0)) * 0.99)),train-MSE,3.386170028221638e-30,1.1060273490079342e-30,True,0.505*(x0 / log(x0)),2,,0.1262199878692627
20290720,1,full,4,4,0.0,cos((((0.66 - x0) * x0) + 0.31)),extrap-CV,6.42131233091784e-16,1.1512897065171981e-15,True,3.29e+07*exp((cos((((x0 * 0.66) - (x0)^2) + 0.31)) * 3.04e-08)) + -3.29e+07,7,-27.62754258095663,337.7802712917328
20290720,1,full,4,4,0.0,cos((((0.66 - x0) * x0) + 0.31)),interior-CV,6.42131233091784e-16,1.1512897065171981e-15,True,3.29e+07*exp((cos((((x0 * 0.66) - (x0)^2) + 0.31)) * 3.04e-08)) + -3.29e+07,7,-27.629770316669564,337.7802712917328
20290720,1,full,4,4,0.0,cos((((0.66 - x0) * x0) + 0.31)),train-MSE,6.42131233091784e-16,1.1512897065171981e-15,True,3.29e+07*exp((cos((((x0 * 0.66) - (x0)^2) + 0.31)) * 3.04e-08)) + -3.29e+07,7,,337.7802712917328
20290721,1,full,4,3,0.0,(x0 * sin((x0 + (x0 / x0)))),extrap-CV,2.528993952248916e-30,1.2125580452822856e-31,True,0.54*(((cos(x0) * 1.56) + sin(x0)) * x0),5,-27.631021115928547,40.54605960845947
20290721,1,full,4,3,0.0,(x0 * sin((x0 + (x0 / x0)))),interior-CV,2.528993952248916e-30,1.2125580452822856e-31,True,0.54*(((cos(x0) * 1.56) + sin(x0)) * x0),5,-27.631021115928547,40.54605960845947
20290721,1,full,4,3,0.0,(x0 * sin((x0 + (x0 / x0)))),train-MSE,2.528993952248916e-30,1.2125580452822856e-31,True,0.54*(((cos(x0) * 1.56) + sin(x0)) * x0),5,,40.54605960845947
20290722,1,full,4,5,0.0,((sin(x0) / 1.14) * log(x0)),extrap-CV,9.857488738989958e-32,7.364485995631114e-32,True,0.877*(log(x0) * sin(x0)),3,-27.631021115928547,0.6501321792602539
20290722,1,full,4,5,0.0,((sin(x0) / 1.14) * log(x0)),interior-CV,9.857488738989958e-32,7.364485995631114e-32,True,0.877*(log(x0) * sin(x0)),3,-27.631021115928547,0.6501321792602539
20290722,1,full,4,5,0.0,((sin(x0) / 1.14) * log(x0)),train-MSE,9.857488738989958e-32,7.364485995631114e-32,True,0.877*(log(x0) * sin(x0)),3,,0.6501321792602539
20290723,1,full,4,6,0.0,sqrt(((-2.53 * x0) + exp(x0))),extrap-CV,5.666471082376125e-29,2.629092159312748e-31,True,1.12*sqrt(((x0 - (exp(x0) * 0.791)) + x0)),5,-27.631021115928547,39.14768886566162
20290723,1,full,4,6,0.0,sqrt(((-2.53 * x0) + exp(x0))),interior-CV,5.666471082376125e-29,2.629092159312748e-31,True,1.12*sqrt(((x0 - (exp(x0) * 0.791)) + x0)),5,-27.631021115928547,39.14768886566162
20290723,1,full,4,6,0.0,sqrt(((-2.53 * x0) + exp(x0))),train-MSE,5.666471082376125e-29,2.629092159312748e-31,True,1.12*sqrt(((x0 - (exp(x0) * 0.791)) + x0)),5,,39.14768886566162
20290724,1,full,4,4,0.0,exp(exp(sin((x0 * x0)))),extrap-CV,9.404893697426189e-30,4.938402745990404e-31,True,1*exp(exp(sin((x0)^2))),4,-27.631021115928547,20.293335914611816
20290724,1,full,4,4,0.0,exp(exp(sin((x0 * x0)))),interior-CV,9.404893697426189e-30,4.938402745990404e-31,True,1*exp(exp(sin((x0)^2))),4,-27.631021115928547,20.293335914611816
20290724,1,full,4,4,0.0,exp(exp(sin((x0 * x0)))),train-MSE,9.404893697426189e-30,4.938402745990404e-31,True,1*exp(exp(sin((x0)^2))),4,,20.293335914611816
20290725,1,full,4,5,0.0,(((x0)^2 / log(x0)) - x0),extrap-CV,2.52472467525656e-28,4.500789901280243e-30,True,1*((x0 / log(x0)) * x0) + -1*x0,4,-27.631021115928547,0.3665957450866699
20290725,1,full,4,5,0.0,(((x0)^2 / log(x0)) - x0),interior-CV,2.52472467525656e-28,4.500789901280243e-30,True,1*((x0 / log(x0)) * x0) + -1*x0,4,-27.631021115928547,0.3665957450866699
20290725,1,full,4,5,0.0,(((x0)^2 / log(x0)) - x0),train-MSE,2.52472467525656e-28,4.500789901280243e-30,True,1*((x0 / log(x0)) * x0) + -1*x0,4,,0.3665957450866699
20290726,1,full,4,7,0.0,(sqrt(2.69) * sqrt((x0 + x0))),extrap-CV,4.717757991770973e-30,2.644110862508357e-29,True,2.32*sqrt(x0),1,-27.631021115928547,0.009800910949707031
