seed,d,op_set,n_ops,eff_ops,noise,truth,y_test_var,method,mse_test,nmse_test,recovered,model,complexity,config,time_s
20280712,2,trig,2,2,0.0,((x1 * x0) - -2.53),730.2600139308186,SR (ours),4.391120273202898e-31,6.013091487190331e-34,True,2.53 + 1*x0*x1,1.0,k_ex=4+dedup,0.007960796356201172
20280712,2,trig,2,2,0.0,((x1 * x0) - -2.53),730.2600139308186,polynomial,5.934956192134433e-10,8.127182207591997e-13,False,"{'degree': 2, 'alpha': 0.0001}",,,0.24655604362487793
20280712,2,trig,2,2,0.0,((x1 * x0) - -2.53),730.2600139308186,random_forest,391.30337442139637,0.5358411619925648,False,{'max_depth': None},,,8.912811040878296
20280712,2,trig,2,2,0.0,((x1 * x0) - -2.53),730.2600139308186,mlp,33.78154267697029,0.04625960895097098,False,"{'hidden': (256,), 'alpha': 0.0001}",,,514.2470428943634
20280713,2,trig,2,2,0.0,(-2.78 + (x0 * x1)),740.1450993755658,SR (ours),4.100189295803762e-29,5.539710118006518e-32,True,-2.78 + 1*x0*x1,1.0,k_ex=4+dedup,0.008156061172485352
20280713,2,trig,2,2,0.0,(-2.78 + (x0 * x1)),740.1450993755658,polynomial,5.328769863221455e-10,7.199628650810698e-13,False,"{'degree': 2, 'alpha': 0.0001}",,,0.26866602897644043
20280713,2,trig,2,2,0.0,(-2.78 + (x0 * x1)),740.1450993755658,random_forest,424.2795343448595,0.57323832138159,False,{'max_depth': None},,,9.14895224571228
20280713,2,trig,2,2,0.0,(-2.78 + (x0 * x1)),740.1450993755658,mlp,26.720039435071335,0.036101082689886196,False,"{'hidden': (256,), 'alpha': 0.0001}",,,517.027400970459
20280714,2,trig,2,2,0.0,cos((x0 - x1)),0.4938253029369628,SR (ours),2.5907907981750694e-32,5.246371100805635e-32,True,1*cos((x0 - x1)),2.0,k_ex=4+dedup,0.05444478988647461
20280714,2,trig,2,2,0.0,cos((x0 - x1)),0.4938253029369628,polynomial,0.5058097512939042,1.02426859921042,False,"{'degree': 1, 'alpha': 1.0}",,,0.25446081161499023
20280714,2,trig,2,2,0.0,cos((x0 - x1)),0.4938253029369628,random_forest,0.703084670236235,1.4237518127457804,False,{'max_depth': None},,,9.792027235031128
20280714,2,trig,2,2,0.0,cos((x0 - x1)),0.4938253029369628,mlp,1.6446104828812964,3.3303487551168116,False,"{'hidden': (64, 64), 'alpha': 0.01}",,,174.42017602920532
20280715,2,trig,2,2,0.0,cos((x0 + x1)),0.5361310519986126,SR (ours),2.81880283330361e-32,5.257675008368859e-32,True,1*cos((x0 + x1)),2.0,k_ex=4+dedup,0.044844865798950195
20280715,2,trig,2,2,0.0,cos((x0 + x1)),0.5361310519986126,polynomial,0.6120246054872511,1.1415578396470776,False,"{'degree': 1, 'alpha': 1.0}",,,0.25267720222473145
20280715,2,trig,2,2,0.0,cos((x0 + x1)),0.5361310519986126,random_forest,0.8252823063383645,1.5393294293659012,False,{'max_depth': None},,,9.61861515045166
20280715,2,trig,2,2,0.0,cos((x0 + x1)),0.5361310519986126,mlp,2.3310481498124833,4.347907365415043,False,"{'hidden': (64, 64), 'alpha': 0.01}",,,168.26205611228943
20280716,2,trig,2,2,0.0,(x1 - sin(x0)),29.80628261937488,SR (ours),1.6746592812210018e-30,5.618477495521124e-32,True,-1*sin(x0) + 1*x1,2.0,k_ex=4+dedup,0.013705968856811523
20280716,2,trig,2,2,0.0,(x1 - sin(x0)),29.80628261937488,polynomial,136.14731886110144,4.567738976366078,False,"{'degree': 7, 'alpha': 0.0001}",,,0.26595091819763184
20280716,2,trig,2,2,0.0,(x1 - sin(x0)),29.80628261937488,random_forest,2.6542067885982012,0.08904856813217278,False,{'max_depth': None},,,9.36131477355957
20280716,2,trig,2,2,0.0,(x1 - sin(x0)),29.80628261937488,mlp,4.908052619305682,0.1646650366294023,False,"{'hidden': (256,), 'alpha': 0.01}",,,127.16117405891418
20280717,2,trig,2,2,0.0,(x0 * (x1 - x0)),1040.1616286611354,SR (ours),9.343633477013877e-29,8.98286691179016e-32,True,-1*x0^2 + 1*x0*x1,2.0,k_ex=4+dedup,0.007544994354248047
