seed,d,op_set,n_ops,eff_ops,noise,truth,y_test_var,method,mse_test,nmse_test,recovered,model,complexity,config,time_s
20260712,1,poly,2,2,0.0,(-2.75 - (x0 - -0.71)),42.83288126927326,SR (ours),8.612758711299719e-31,2.0107820104733876e-32,True,-0.5*x0 + -3.46 + -0.5*x0,1.0,k_ex=4+dedup,0.0030319690704345703
20260712,1,poly,2,2,0.0,(-2.75 - (x0 - -0.71)),42.83288126927326,polynomial,2.6162771763566633e-11,6.108104565530325e-13,False,"{'degree': 1, 'alpha': 0.0001}",,,0.14644885063171387
20260712,1,poly,2,2,0.0,(-2.75 - (x0 - -0.71)),42.83288126927326,random_forest,3.3606578405711085,0.07845976597847788,False,{'max_depth': 8},,,2.3717103004455566
20260712,1,poly,2,2,0.0,(-2.75 - (x0 - -0.71)),42.83288126927326,mlp,0.24687831841491753,0.005763756980598431,False,"{'hidden': (256,), 'alpha': 0.0001}",,,5.290929794311523
20260713,1,poly,2,1,0.0,((x0 * x0))^2,989351.5092428601,SR (ours),2.6435044478318194e-25,2.6719567546370493e-31,True,1*((x0)^2)^2,2.0,k_ex=4+dedup,0.007436990737915039
20260713,1,poly,2,1,0.0,((x0 * x0))^2,989351.5092428601,polynomial,0.00022049796602746348,2.2287120802616266e-10,False,"{'degree': 4, 'alpha': 0.0001}",,,0.1910560131072998
20260713,1,poly,2,1,0.0,((x0 * x0))^2,989351.5092428601,random_forest,3069903.569319112,3.102945253167376,False,{'max_depth': 8},,,2.478987693786621
20260713,1,poly,2,1,0.0,((x0 * x0))^2,989351.5092428601,mlp,1643306.6126490235,1.660993688589638,False,"{'hidden': (64, 64), 'alpha': 0.01}",,,87.7370879650116
20260714,1,poly,2,1,0.0,(x0 * (x0)^2),91957.46485630477,SR (ours),5.6513995250033286e-27,6.145666949207832e-32,True,1*x0^3,1.0,poly_deg=3,0.009385824203491211
20260714,1,poly,2,1,0.0,(x0 * (x0)^2),91957.46485630477,polynomial,1.5043186511062172e-06,1.63588530138027e-11,False,"{'degree': 3, 'alpha': 0.0001}",,,0.1902472972869873
20260714,1,poly,2,1,0.0,(x0 * (x0)^2),91957.46485630477,random_forest,40308.82385289779,0.4383420521203521,False,{'max_depth': 8},,,2.578284978866577
