seed,d,op_set,n_ops,eff_ops,noise,truth,y_test_var,method,mse_test,nmse_test,recovered,model,complexity,config,time_s
20270712,1,full,4,4,0.0,(sqrt(x0) - (-1.33 - (2.2 / 2.7))),0.025616715678753586,SR (ours),9.91930958557202e-30,3.8722019286020574e-28,True,1*sqrt(x0) + 2.14,1.0,k_ex=4+dedup,0.004436969757080078
20270712,1,full,4,4,0.0,(sqrt(x0) - (-1.33 - (2.2 / 2.7))),0.025616715678753586,polynomial,1.2540744628137594,48.95531802517075,False,"{'degree': 1, 'alpha': 1.0}",,,0.10483026504516602
20270712,1,full,4,4,0.0,(sqrt(x0) - (-1.33 - (2.2 / 2.7))),0.025616715678753586,random_forest,0.12666527034995806,4.944633493942153,False,{'max_depth': 8},,,2.7669129371643066
20270712,1,full,4,4,0.0,(sqrt(x0) - (-1.33 - (2.2 / 2.7))),0.025616715678753586,mlp,0.18009065871364965,7.030200942699935,False,"{'hidden': (256,), 'alpha': 0.01}",,,9.572893142700195
20270713,1,full,4,5,0.0,(x0 / (((x0 + -0.67))^2 - x0)),0.0342302043866161,SR (ours),0.4470293138579378,13.059498821827802,False,1.05*(x0 / (x0 - exp((sin(x0) * 0.891)))) + -0.343 + 0.0684*x0 + -0.0264*x0^2,7.0,k_ex=4+dedup,187.37563300132751
20270713,1,full,4,5,0.0,(x0 / (((x0 + -0.67))^2 - x0)),0.0342302043866161,polynomial,3373.83652533432,98563.14286728241,False,"{'degree': 1, 'alpha': 1.0}",,,0.39417386054992676
20270713,1,full,4,5,0.0,(x0 / (((x0 + -0.67))^2 - x0)),0.0342302043866161,random_forest,0.015328336457135569,0.4478014879493065,False,{'max_depth': None},,,4.778830051422119
20270713,1,full,4,5,0.0,(x0 / (((x0 + -0.67))^2 - x0)),0.0342302043866161,mlp,15077.217900808766,440465.31918178994,False,"{'hidden': (256,), 'alpha': 0.0001}",,,52.997223138809204
20270714,1,full,4,5,0.0,(-2.47 - cos(cos((x0 * x0)))),0.025695329268840154,SR (ours),1.778788896636051e-30,6.922615694180371e-29,True,-1*cos(cos((x0)^2)) + -2.47,3.0,k_ex=4+dedup,0.15364623069763184
20270714,1,full,4,5,0.0,(-2.47 - cos(cos((x0 * x0)))),0.025695329268840154,polynomial,0.03239578647646807,1.2607655709535246,False,"{'degree': 1, 'alpha': 1.0}",,,0.1493837833404541
20270714,1,full,4,5,0.0,(-2.47 - cos(cos((x0 * x0)))),0.025695329268840154,random_forest,0.03785484719764512,1.4732189964014353,False,{'max_depth': 4},,,2.891371011734009
20270714,1,full,4,5,0.0,(-2.47 - cos(cos((x0 * x0)))),0.025695329268840154,mlp,0.16895967994705602,6.575501647762406,False,"{'hidden': (256,), 'alpha': 0.01}",,,22.886757850646973
20270715,1,full,4,2,0.0,((x0 - sin(x0)) - (-1.66 + x0)),0.44985165690847256,SR (ours),3.341969935997951e-31,7.429048853493303e-31,True,-1*sin(x0) + 1.66,1.0,k_ex=4+dedup,0.0044078826904296875
20270715,1,full,4,2,0.0,((x0 - sin(x0)) - (-1.66 + x0)),0.44985165690847256,polynomial,263.8008060867879,586.4173267688134,False,"{'degree': 7, 'alpha': 0.0001}",,,0.12075495719909668
20270715,1,full,4,2,0.0,((x0 - sin(x0)) - (-1.66 + x0)),0.44985165690847256,random_forest,1.7202493080859411,3.824036838961661,False,{'max_depth': 8},,,2.8133249282836914
20270715,1,full,4,2,0.0,((x0 - sin(x0)) - (-1.66 + x0)),0.44985165690847256,mlp,3.7636555864717867,8.366437088032212,False,"{'hidden': (64, 64), 'alpha': 0.01}",,,10.268066883087158
20270716,1,full,4,6,0.0,(cos(sqrt((x0 * x0))))^2,0.11951002108419581,SR (ours),2.002261648679887e-31,1.675392264611247e-30,True,-1*(sin(x0))^2 + 1,2.0,k_ex=4+dedup,0.020400047302246094
